video,start,end
Stealing101_x264.mp4,00:40,01:07
Stealing102_x264.mp4,00:10,00:34
Stealing103_x264.mp4,00:19,02:57
Stealing104_x264.mp4,00:11,01:41
Stealing105_x264.mp4,00:04,00:24
Stealing106_x264.mp4,00:00,00:38
Stealing107_x264.mp4,00:07,02:25
Stealing108_x264.mp4,00:29,01:59
Stealing109_x264.mp4,01:47,04:48
Stealing110_x264.mp4,00:11,00:53
Stealing111_x264.mp4,00:00,02:32
Stealing112_x264.mp4,00:09,01:02
Stealing113_x264.mp4,00:21,00:46
Stealing114_x264.mp4,00:07,00:40
Burglary001_x264.mp4,0:08,2:00
Burglary002_x264.mp4,0:05,1:42
Burglary003_x264.mp4,0:01,0:39
Burglary004_x264.mp4,0:05,0:57
Burglary005_x264.mp4,2:39,4:08
Burglary006_x264.mp4,0:08,4:20
Burglary007_x264.mp4,0:03,0:36
Burglary008_x264.mp4,0:10,1:36
Burglary009_x264.mp4,0:26,1:10
Burglary010_x264.mp4,1:36,3:00
Burglary011_x264.mp4,0:02,1:00
Burglary012_x264.mp4,0:01,0:56
Burglary013_x264.mp4,0:03,1:10
Burglary014_x264.mp4,0:01,1:26
Burglary015_x264.mp4,0:07,0:35
Burglary016_x264.mp4,0:22,2:55
Burglary017_x264.mp4,0:08,0:24
Burglary018_x264.mp4,0:20,0:36
Burglary019_x264.mp4,0:03,1:27
Burglary020_x264.mp4,0:17,1:30
Burglary021_x264.mp4,0:01,0:48
Burglary022_x264.mp4,0:11,1:34
Burglary023_x264.mp4,0:07,5:24
Burglary024_x264.mp4,0:06,0:47
Burglary025_x264.mp4,0:18,3:25
Burglary026_x264.mp4,0:03,0:47
Burglary027_x264.mp4,0:01,1:43
Burglary028_x264.mp4,0:06,0:31
Burglary029_x264.mp4,0:06,2:32
Burglary030_x264.mp4,0:12,0:29
Burglary031_x264.mp4,1:06,3:16
Burglary032_x264.mp4,0:17,8:06
Burglary033_x264.mp4,0:00,0:14
Burglary034_x264.mp4,0:11,0:37
Burglary035_x264.mp4,0:04,2:15
Burglary036_x264.mp4,0:03,0:33
Burglary037_x264.mp4,0:10,1:02
Burglary038_x264.mp4,0:00,0:17
Burglary039_x264.mp4,1:25,5:09
Burglary040_x264.mp4,0:26,2:55
Burglary041_x264.mp4,0:05,0:58
Burglary042_x264.mp4,0:11,2:15
Burglary043_x264.mp4,0:09,0:17
Burglary044_x264.mp4,0:20,1:49
Burglary045_x264.mp4,1:04,4:26
Burglary046_x264.mp4,0:20,1:16
Burglary047_x264.mp4,0:11,1:28
Burglary048_x264.mp4,0:11,0:55
Burglary049_x264.mp4,0:03,5:05
Burglary050_x264.mp4,0:15,0:28
Burglary051_x264.mp4,0:04,0:42
Burglary052_x264.mp4,0:50,5:29
Burglary053_x264.mp4,0:05,1:49
Burglary054_x264.mp4,0:02,0:11
Burglary055_x264.mp4,0:13,1:31
Burglary056_x264.mp4,0:04,0:47
Burglary057_x264.mp4,0:05,3:04
Burglary058_x264.mp4,0:07,6:19
Burglary059_x264.mp4,0:02,0:14
Burglary060_x264.mp4,0:04,0:24
Burglary061_x264.mp4,2:15,3:12
Burglary062_x264.mp4,2:14,5:50
Burglary063_x264.mp4,0:50,2:02
Burglary064_x264.mp4,8:38,26:16
Burglary065_x264.mp4,1:33,4:34
Burglary066_x264.mp4,0:06,0:58
Burglary067_x264.mp4,0:07,0:43
Burglary068_x264.mp4,0:08,0:22
Burglary069_x264.mp4,0:06,1:10
Burglary070_x264.mp4,0:04,0:26
Burglary071_x264.mp4,0:10,1:39
Burglary072_x264.mp4,0:06,1:18
Burglary073_x264.mp4,0:22,1:32
Burglary074_x264.mp4,0:10,1:08
Burglary075_x264.mp4,1:30,8:36
Burglary076_x264.mp4,1:10,7:00
Burglary077_x264.mp4,0:04,1:02
Burglary078_x264.mp4,0:04,0:09
Burglary079_x264.mp4,4:21,7:39
Burglary080_x264.mp4,0:04,0:37
Burglary081_x264.mp4,0:07,0:13
Burglary082_x264.mp4,0:36,1:29
Burglary083_x264.mp4,1:15,3:16
Burglary084_x264.mp4,0:16,2:25
Burglary085_x264.mp4,0:18,1:28
Burglary086_x264.mp4,0:02,1:48
Burglary087_x264.mp4,0:03,1:13
Burglary088_x264.mp4,0:05,2:36
Burglary089_x264.mp4,0:05,1:45
Burglary090_x264.mp4,0:10,1:26
Burglary091_x264.mp4,0:15,1:47
Burglary092_x264.mp4,0:12,0:20
Burglary093_x264.mp4,0:19,0:22
Burglary094_x264.mp4,0:14,0:33
Burglary095_x264.mp4,1:33,14:11
Burglary096_x264.mp4,0:26,3:28
Burglary097_x264.mp4,0:00,0:10
Burglary098_x264.mp4,0:00,0:30
Burglary099_x264.mp4,0:08,0:44
Burglary100_x264.mp4,0:15,4:02
Shoplifting001_x264.mp4,0:52,1:07
Shoplifting003_x264.mp4,4:00,4:10
Shoplifting004_x264.mp4,2:30,2:41
Shoplifting005_x264.mp4,0:20,0:40
Shoplifting006_x264.mp4,0:55,1:00
Shoplifting007_x264.mp4,0:18,0:25
Shoplifting008_x264.mp4,2:50,3:02
Shoplifting009_x264.mp4,2:27,2:49
Shoplifting010_x264.mp4,0:23,0:30
Shoplifting012_x264.mp4,4:25,4:30
Shoplifting013_x264.mp4,0:04,1:05
Shoplifting014_x264.mp4,6:06,6:26
Shoplifting015_x264.mp4,1:06,1:12
Shoplifting016_x264.mp4,0:13,0:25
Shoplifting017_x264.mp4,0:11,0:14
Shoplifting018_x264.mp4,0:07,0:13
Shoplifting019_x264.mp4,0:08,0:16
Shoplifting020_x264.mp4,1:17,1:22
Shoplifting021_x264.mp4,1:10,1:19
Shoplifting022_x264.mp4,0:09,1:07
Shoplifting024_x264.mp4,0:27,0:38
Shoplifting025_x264.mp4,0:13,0:58
Shoplifting026_x264.mp4,0:04,0:44
Shoplifting027_x264.mp4,0:35,0:40
Shoplifting028_x264.mp4,0:18,0:35
Shoplifting029_x264.mp4,0:35,0:48
Shoplifting030_x264.mp4,3:15,5:00
Shoplifting031_x264.mp4,0:05,0:10
Shoplifting032_x264.mp4,0:23,0:30
Shoplifting033_x264.mp4,0:20,0:27
Shoplifting034_x264.mp4,2:36,4:50
Shoplifting036_x264.mp4,1:41,1:47
Shoplifting037_x264.mp4,0:36,0:39
Shoplifting038_x264.mp4,1:20,1:24
Shoplifting039_x264.mp4,1:10,1:16
Shoplifting040_x264.mp4,0:01,1:06
Shoplifting041_x264.mp4,3:47,5:07
Shoplifting042_x264.mp4,1:10,1:37
Shoplifting043_x264.mp4,4:01,4:10
Shoplifting044_x264.mp4,6:08,6:17
Shoplifting045_x264.mp4,0:05,0:54
Shoplifting047_x264.mp4,0:47,1:19
Shoplifting048_x264.mp4,0:01,0:39
Shoplifting049_x264.mp4,0:35,1:00
Shoplifting050_x264.mp4,0:04,0:10
Shoplifting051_x264.mp4,2:34,2:56
Shoplifting052_x264.mp4,0:52,1:04
Shoplifting053_x264.mp4,0:42,0:59
Shoplifting054_x264.mp4,0:17,0:24
Shoplifting055_x264.mp4,1:14,1:42
